代码		    名称		涨幅		现价		当日成交额		主力净额		资金流向		主力资金流向[20260112]		净流入		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		开盘涨幅		早盘竞价金额		尾盘竞价金额		首次涨停时间		最终涨停时间		
SH600000	浦发银行	+1.04%		11.66		6.98亿		+42082257	1.36亿		5986.03万	136142143	0.18%		0.69		3883.46亿	--		--		银行		【跨境支付(CIPS);证金持股;信托概念;沪股通;融资融券】	--		0		-0.93%		+1.92%		+0.09		+0.09%		4084080		8753162		--		--		
SH600004	白云机场	+0.32%		9.49		1.99亿		+1570709	--		156.41万	-13464550	0.89%		1.28		224.60亿	--		--		机场航运	【同花顺中特估100;国企改革;免税店;粤港澳大湾区;沪股通;融资融券】	--		0		-1.25%		-1.35%		+0.00		+0.00%		364210		1933113		--		--		
SH600006	东风股份	+1.65%		7.38		2.60亿		+10958013	4886.56万	1890.82万	48865579	1.77%		1.78		147.60亿	--		--		汽车整车	【燃料电池;碳中和;智能物流;冷链物流;国企改革;车联网(车路协同);一体化压铸;氢能源;央企国企改革;无人驾驶;DeepSeek概念;新能源汽车;沪股通;融资融券】	--		0		+2.64%		+3.94%		-0.14		-0.14%		1964025		3677454		--		--		
SH600007	中国国贸	-1.25%		19.70		4584.46万	-506129		--		-350.20万	-4189066	0.23%		0.85		198.43亿	--		--		房地产		【同花顺中特估100;物业管理;国企改革;中字头股票;沪股通;融资融券】	--		0		+0.10%		+3.90%		+0.00		+0.00%		502740		1658740		--		--		
SH600008	首创环保	+0.33%		3.03		2.13亿		-11836679	1741.47万	-828.61万	17414673	0.96%		1.18		222.42亿	--		--		环境治理	【煤化工概念;医疗废物处理;PPP概念;国企改革;固废处理;绿色电力;污水处理;新型城镇化;雄安新区;净水概念;地下管网;乡村振兴;土壤修复;垃圾分类;京津冀一体化;智慧城市;DeepSeek概念;人工智能;沪股通;融资融券;机器人概念】	--		0		+1.34%		+3.41%		+0.00		+0.00%		1031632		2415213		--		--		
SH600009	上海机场	-0.46%		32.54		4.58亿		-16504030	--		-2442.74万	-86914557	0.69%		1.24		665.86亿	--		--		机场航运	【免税店;证金持股;上海国企改革;国企改革;同花顺中特估100;上海自贸区;同花顺漂亮100;沪股通;融资融券】	--		0		-3.67%		+1.66%		-0.34		-0.34%		3743442		3481780		--		--		
SH600010	包钢股份	+3.46%		2.69		45.33亿		+80890090	12.14亿		7.46亿		1214079850	5.41%		1.77		844.14亿	--		--		钢铁		【稀土永磁;特钢概念;国企改革;雅下水电概念;西部大开发;一带一路;证金持股;风电;氟化工概念;回购增持再贷款概念;工业互联网;沪股通;融资融券;数据中心】	--		0		+12.55%		+13.98%		+3.08		+3.08%		75286292	23042809	--		--		
SH600011	华能国际	+0.14%		7.39		4.42亿		+44421490	--		1647.36万	-26160066	0.55%		0.93		812.73亿	--		--		电力		【超超临界发电;证金持股;央企国企改革;绿色电力;国企改革;核电;风电;碳中和;沪股通;融资融券】	--		0		-7.51%		-5.50%		-0.27		-0.27%		3581376		5526981		--		--		
SH600012	皖通高速	-0.27%		14.59		5609.67万	-2286392	191.11万	-41.34万	1911141		0.33%		0.82		170.06亿	--		--		公路铁路运输	【PPP概念;国企改革;DeepSeek概念;沪股通;融资融券】	--		0		-2.28%		-1.95%		+0.00		+0.00%		304304		838925		--		--		
SH600015	华夏银行	+0.15%		6.78		2.86亿		-4951199	--		-772.82万	-25503477	0.27%		0.82		1043.25亿	--		--		银行		【证金持股;跨境支付(CIPS);沪股通;融资融券】	--		0		-1.02%		-0.29%		-0.15		-0.15%		4494048		6302010		--		--		
SH600016	民生银行	+0.52%		3.84		11.36亿		-42946156	1.91亿		9986.48万	190952094	0.84%		1.21		1361.75亿	--		--		银行		【高股息精选;跨境支付(CIPS);沪股通;融资融券】	--		0		-0.52%		-1.79%		+0.00		+0.00%		11692256	17074560	--		--		
SH600017	日照港		+0.99%		3.06		1.10亿		-4060547	4666.01万	2349.04万	46660109	1.18%		1.65		94.12亿		--		--		港口航运	【航运概念;国企改革;中韩自贸区;证金持股;冷链物流;乡村振兴;绿色电力;一带一路;免税店;DeepSeek概念;虚拟电厂;华为概念;融资融券;沪股通】	--		0		+0.66%		+2.34%		+0.00		+0.00%		665691		1067022		--		--		
SH600018	上港集团	+0.55%		5.50		1.99亿		+5100845	3952.50万	2316.30万	39525027	0.16%		1.19		1278.57亿	--		--		港口航运	【同花顺中特估100;证金持股;航运概念;参股银行;国企改革;上海国企改革;足球概念;体育产业;免税店;自由贸易港;一带一路;创投;上海自贸区;长三角一体化;沪股通;融资融券;F5G概念】	--		0		-0.90%		-0.90%		+0.00		+0.00%		1085248		6444350		--		--		
SH600019	宝钢股份	+0.69%		7.33		7.38亿		+24782867	2376.90万	90.37万		23768977	0.46%		0.98		1596.63亿	--		--		钢铁		【特钢概念;同花顺中特估100;证金持股;参股银行;国企改革;央企国企改革;一带一路;核电;同花顺漂亮100;石墨电极;AI智能体;特斯拉概念;沪股通;融资融券】	--		0		+2.09%		+3.53%		+0.27		+0.27%		4290940		6862661		--		--		
SH600020	中原高速	+0.94%		4.31		6594.00万	+9392535	1866.82万	1357.64万	18668198	0.68%		1.25		96.86亿		--		--		公路铁路运输	【参股银行;信托概念;参股保险;国企改革;化债概念(AMC概念);创投;文化传媒概念;回购增持再贷款概念;充电桩;沪股通;融资融券】	--		0		-0.46%		-0.69%		-0.23		-0.23%		2051616		359023		--		--		
SH600021	上海电力	+1.74%		21.69		24.77亿		-102981356	2943.46万	1229.53万	29434590	4.13%		1.11		611.93亿	--		--		电力		【超超临界发电;虚拟电厂;核电;风电;碳交易;央企国企改革;储能;绿色电力;一带一路;氢能源;国企改革;沪股通;融资融券;证金持股】	--		0		+9.16%		+8.94%		+0.05		+0.05%		15336270	21919914	--		--		
SH600022	山东钢铁	+3.23%		1.60		3.01亿		-24028146	1.03亿		4307.14万	102841158	1.79%		1.65		171.18亿	--		--		钢铁		【特钢概念;国企改革;回购增持再贷款概念;工业互联网;人工智能;机器人概念;融资融券;沪股通】	--		0		+5.26%		+7.38%		+0.65		+0.65%		1247064		2829920		--		--		
SH600023	浙能电力	+1.20%		5.08		3.62亿		+42024478	6219.01万	4379.41万	62190109	0.53%		1.43		681.16亿	--		--		电力		【超超临界发电;绿色电力;国企改革;核电;可控核聚变;沪股通;融资融券】	--		0		-1.36%		-1.17%		+0.20		+0.20%		1655876		2870708		--		--		
SH600025	华能水电	+0.55%		9.20		2.12亿		+660343		1396.48万	572.85万	13964752	0.13%		1.33		1656.00亿	--		--		电力		【央企国企改革;国企改革;绿色电力;西部大开发;水利;风电;同花顺漂亮100;沪股通;DeepSeek概念;华为概念;融资融券】	--		0		-0.33%		-2.65%		+0.00		+0.00%		1268190		1500520		--		--		
SH600026	中远海能	+7.24%		13.63		12.78亿		+40636401	2.31亿		1.36亿		230945697	2.74%		1.54		473.61亿	--		--		港口航运	【航运概念;俄乌冲突概念;上海自贸区;天然气;央企国企改革;同花顺中特估100;回购增持再贷款概念;国企改革;一带一路;证金持股;人民币贬值受益;沪股通;融资融券;中字头股票】	--		0		+15.70%		+21.26%		+1.10		+1.10%		7088060		7417446		--		--		
SH600027	华电国际	+0.20%		5.04		3.48亿		+33048124	--		806.38万	-35761533	0.81%		0.97		428.92亿	--		--		电力		【煤炭概念;超超临界发电;证金持股;绿色电力;国企改革;央企国企改革;风电;虚拟电厂;沪股通;融资融券;股权转让(并购重组)】	--		0		-3.08%		-3.45%		+0.20		+0.20%		3277512		2672712		--		--		
SH600028	中国石化	-3.08%		5.97		25.36亿		+56891653	--		-3093.80万	-191057910	0.45%		1.60		5656.72亿	--		--		石油加工贸易	【同花顺中特估100;可燃冰;证金持股;煤化工概念;天然气;中字头股票;国企改革;央企国企改革;页岩气;一带一路;沪股通;融资融券;回购增持再贷款概念;氢能源;充电桩】	--		0		+2.05%		+2.58%		-0.97		-0.97%		34131940	18399659	--		--		
SH600029	南方航空	-1.13%		7.88		5.33亿		+11240612	--		1713.19万	-32240034	0.50%		1.08		1061.98亿	--		--		机场航运	【证金持股;国企改革;央企国企改革;沪股通;融资融券】	--		0		+3.82%		+15.37%		-0.50		-0.50%		2629588		2456196		--		--		
SH600030	中信证券	+0.74%		28.78		62.27亿		+120736410	1.36亿		1.02亿		135849290	1.78%		0.84		3504.41亿	--		--		证券		【期货概念;证金持股;同花顺中特估100;沪股通;融资融券;同花顺漂亮100】	--		0		-0.62%		+1.73%		+0.00		+0.00%		48163735	93789127	--		--		
SH600031	三一重工	+1.26%		22.56		21.01亿		+103396130	1.44亿		1.10亿		143568580	1.10%		1.21		1911.82亿	--		--		工程机械	【同花顺出海50;雅下水电概念;农机;新疆振兴;证金持股;无人驾驶;一带一路;工业互联网;机器人概念;高端装备;同花顺漂亮100;人民币贬值受益;沪股通;融资融券】	--		0		+9.14%		+6.97%		+0.18		+0.18%		7383456		19388064	--		--		
SH600032	浙江新能	+0.39%		7.72		8800.71万	-2778472	--		97.17万		-101455		0.48%		1.43		185.64亿	--		--		电力		【绿色电力;国企改革;抽水蓄能;风电;氢能源;沪股通;融资融券】	--		0		+2.93%		+5.90%		+0.00		+0.00%		612893		3653876		--		--		
SH600033	福建高速	-1.23%		4.01		3.25亿		-39510773	--		-5374.86万	-79104532	2.95%		1.39		110.05亿	--		--		公路铁路运输	【福建自贸区;海峡两岸;参股银行;参股保险;国企改革;回购增持再贷款概念;融资融券;沪股通】	--		0		-10.29%		-8.03%		-0.49		-0.49%		1802244		2123295		--		--		
SH600035	楚天高速	+0.25%		3.94		3700.01万	+488831		1093.32万	522.84万	10933167	0.58%		1.10		63.44亿		--		--		公路铁路运输	【国企改革;智能医疗;在线教育;ETC;氢能源;人工智能;物联网;车联网(车路协同);国产操作系统;华为概念;WiFi 6;无线耳机;沪股通;融资融券】	--		0		+0.25%		+0.00%		+0.00		+0.00%		339159		329778		--		--		
SH600036	招商银行	-0.44%		41.12		48.88亿		-986900820	--		-9.03亿		-969933340	0.58%		1.25		8482.62亿	--		--		银行		【同花顺中特估100;证金持股;跨境支付(CIPS);沪股通;融资融券;同花顺漂亮100】	--		0		-1.58%		-1.34%		+0.00		+0.00%		46317950	33820994	--		--		
SH600037	歌华有线	+1.90%		8.06		3.80亿		-64099691	6724.90万	-251.81万	67249035	3.40%		2.20		112.18亿	--		--		文化传媒	【文化传媒概念;国资云;智慧城市;DeepSeek概念;云游戏;国企改革;证金持股;物联网;华为概念;央企国企改革;数据中心;5G;融资融券;沪股通】	--		0		+10.56%		+9.21%		+1.77		+1.77%		2780470		3558490		--		--		
SH600038	中直股份	+2.33%		39.05		10.72亿		-42565478	1.57亿		5092.91万	156526113	4.12%		1.46		261.22亿	--		--		军工装备	【央企国企改革;黑龙江自贸区;国企改革;国产航母;军民融合;低空经济;军工;大飞机;无人机;高端装备;飞行汽车(eVTOL);沪股通;融资融券;中字头股票】	--		0		+8.93%		+12.83%		+1.89		+1.89%		19140624	6349530		--		--		
SH600039	四川路桥	-0.10%		10.45		2.49亿		-9694242	1524.37万	-767.07万	15243650	0.27%		0.73		908.69亿	--		--		建筑装饰	【PPP概念;雅下水电概念;同花顺中特估100;国企改革;西部大开发;碳中和;碳交易;一带一路;锂电池概念;沪股通;融资融券;金属铜】	--		0		+5.34%		+8.29%		-0.86		-0.86%		1249585		1698125		--		--		
SH600048	保利发展	-0.91%		6.51		9.77亿		-167893850	--		-1.75亿		-220257373	1.25%		0.72		779.28亿	--		--		房地产		【租售同权;物业管理;证金持股;国企改革;央企国企改革;智能家居;同花顺漂亮100;沪股通;融资融券】	--		0		+3.66%		+1.40%		-0.76		-0.76%		7082024		7183785		--		--		
SH600050	中国联通	+1.29%		5.49		35.45亿		+13585020	--		-1.61亿		-135034510	2.10%		2.01		1689.10亿	--		--		通信服务	【同花顺中特估100;国企改革;央企国企改革;DeepSeek概念;国资云;数据要素;一带一路;区块链;智能家居;人工智能;中字头股票;移动支付;云计算;数据安全;物联网;阿里巴巴概念;卫星导航;商业航天;量子科技;数据中心;6G概念;5G;沪股通;融资融券;同花顺新质50;中国AI 50】	--		0		+6.81%		+5.17%		+0.00		+0.00%		44290072	14644575	--		--		
SH600051	宁波联合	+0.66%		7.63		4259.26万	+521022		121.82万	-129.50万	1218168		1.80%		0.97		23.72亿		--		--		综合		【物业管理;共同富裕示范区;跨境电商;旅游概念;绿色电力;航运概念;煤炭概念】	--		0		+0.00%		+3.53%		+0.40		+0.40%		662831		281547		--		--		
SH600052	东望时代	+1.27%		4.78		9309.11万	-1529558	1462.96万	503.97万	14629636	2.30%		1.62		40.35亿		--		--		电力		【体育产业;国企改革;文化传媒概念;储能;锂电池概念】	--		0		+0.63%		-0.62%		+0.21		+0.21%		2368311		1017662		--		--		
SH600053	九鼎投资	-1.43%		21.98		4.76亿		+14680208	--		-336.55万	-67492219	5.04%		1.30		95.29亿		--		--		多元金融	【创投;PPP概念;人形机器人;跨境电商;沪股通;融资融券】	--		0		+6.18%		+12.72%		-2.02		-2.02%		15773515	11739518	--		--		
SH600054	黄山旅游	+0.44%		11.49		6884.81万	-8431310	1248.98万	16.36万		12489757	1.17%		1.09		58.98亿		--		--		旅游及酒店	【旅游概念;参股券商;国企改革;DeepSeek概念;区块链;沪股通】	--		0		+1.06%		+3.14%		+0.09		+0.09%		413517		1669577		--		--		
SH600055	万东医疗	+2.53%		17.40		2.52亿		-3209108	354.09万	314.30万	3540883		2.07%		1.71		122.33亿	--		--		医疗器械	【医疗器械概念;智能医疗;京津冀一体化;DeepSeek概念;阿里巴巴概念;云计算;绿色电力;一带一路;机器人概念;数据中心;超导概念;沪股通;融资融券】	--		0		+9.23%		+11.54%		+1.18		+1.18%		2566915		1922700		--		--		
SH600056	中国医药	-0.09%		10.81		2.38亿		-6974072	--		-1253.86万	-29076720	1.48%		1.34		161.65亿	--		--		医药商业	【医药电商;流感;肝炎概念;仿制药一致性评价;猴痘概念;证金持股;创新药;医疗器械概念;国企改革;央企国企改革;中字头股票;沪股通;融资融券;脑机接口】	--		0		+2.85%		+0.84%		+0.00		+0.00%		1766906		2572780		--		--		
SH600057	厦门象屿	+1.20%		8.46		2.09亿		+2242203	628.31万	125.63万	6283093		1.18%		0.96		177.03亿	--		--		物流		【海峡两岸;玉米;福建自贸区;农业种植;统一大市场;土地流转;冷链物流;乡村振兴;国企改革;一带一路;智能物流;数据要素;DeepSeek概念;沪股通;融资融券】	--		0		-2.31%		+0.71%		+0.00		+0.00%		412148		988974		--		--		
SH600058	五矿发展	--		--		0.00		--		--		0.00		0		0.00%		0.00		123.48亿	--		--		贸易		【央企国企改革;一带一路;国企改革;统一大市场;小金属概念;融资融券;沪股通】	--		--		+25.08%		+32.57%		--		--		--		--		--		--		
SH600059	古越龙山	+1.08%		9.40		1.14亿		+7026486	2716.73万	888.55万	27167297	1.33%		1.53		85.68亿		--		--		饮料制造	【白酒概念;超级品牌;跨境电商;国企改革;回购增持再贷款概念;融资融券;乡村振兴;沪股通】	--		0		+0.86%		+5.15%		+0.00		+0.00%		876990		3430060		--		--		
SH600060	海信视像	+4.32%		25.35		7.65亿		+9788638	--		1814.39万	-1740928	2.31%		2.80		329.59亿	--		--		黑色家电	【智能家居;虚拟数字人;数字经济;DeepSeek概念;数据要素;人工智能;家用电器;元宇宙;多模态AI;AI智能体;虚拟现实;机器人概念;MR(混合现实);智能穿戴;AI眼镜;汽车电子;芯片概念;MCU芯片;沪股通;融资融券;MiniLED;消费电子概念】	--		0		+4.24%		+2.26%		+1.23		+1.23%		4221360		4215705		--		--		
SH600061	国投资本	+1.15%		7.90		4.06亿		+4523296	3479.34万	1897.52万	34793429	0.81%		1.02		505.12亿	--		--		证券		【期货概念;参股券商;信托概念;证金持股;国企改革;雄安新区;央企国企改革;沪股通;融资融券】	--		0		+3.81%		+5.62%		+0.00		+0.00%		1822073		3370930		--		--		
SH600062	华润双鹤	+0.27%		18.70		1.51亿		-15215205	--		-1090.10万	-7032599	0.79%		1.18		193.17亿	--		--		化学制药	【仿制药一致性评价;NMN概念;创新药;合成生物;青蒿素;减肥药;国企改革;央企国企改革;智能医疗;DeepSeek概念;沪股通;融资融券】	--		0		+1.19%		+0.75%		+0.00		+0.00%		764650		2690930		--		--		
SH600063	皖维高新	+1.11%		6.39		3.06亿		+29143940	1924.14万	3357.37万	19241364	2.34%		1.05		132.22亿	--		--		化学纤维	【水泥概念;参股券商;国企改革;光伏概念;2025三季报预增;专精特新;融资融券;沪股通】	--		0		+4.75%		+9.98%		-1.11		-1.11%		2374375		2090169		--		--		
