代码		    名称		涨幅		现价		涨跌		换手		振幅		涨速		总金额		总市值		流通市值		总手		利好		利空		主力净量		市盈(动)		TTM市盈率		市净率		现手		开盘		昨收		最高		最低		买价		卖价		买量		卖量		委比%		量比		金叉个数		手/笔		外盘		内盘		上市日期		
SH000001	上证指数	+0.92%		4120.43		+37.45		1.54%		0.93%		+0.00%		1289205970000	67309400000000	63106047000000	72983799000	无		无		0.00		17.61		0		1.55		91037000--	4086.76		4082.98		4121.72		4083.62		--		--		--		--		-8.68		1.16		0		1037		36499055000	36484744000	--		
SZ399001	深证成指	+1.15%		14120.15	+160.67		4.21%		1.59%		+0.01%		1833561200000	45435754000000	39408395000000	101396821000	无		无		0.00		37.16		0		2.82		1185508000--	13917.78	13959.48	14139.54	13917.78	--		--		--		--		+2.19		1.18		0		944		51148500000	50248321000	--		
899050		北证50		+1.05%		1524.26		+15.89		12.49%		2.77%		+0.00%		29829720000	917538610000	560468900000	1136734200	无		无		0.00		69.40		0		4.84		15092790--	1511.97		1508.38		1547.75		1505.96		--		--		--		--		--		1.23		0		--		--		--		--		
SZ399006	创业板指	+0.77%		3327.81		+25.50		6.65%		1.82%		+0.02%		878901070000	18758905000000	15180688000000	34390690000	无		无		0.00		67.96		0		5.98		396977000--	3279.38		3302.31		3330.01		3269.99		--		--		--		--		-9.41		1.28		0		780		17451820000	16938870000	--		
SH000688	科创50		+1.43%		1475.97		+20.80		1.98%		2.73%		+0.02%		91006167000	4441119500000	4234139000000	1330640500	无		无		0.00		129.9		0		5.70		3519200--	1442.22		1455.17		1477.24		1437.58		--		--		--		--		-18.17		1.20		0		720		648276860	682363640	--		
SH000300	沪深300		+0.45%		4758.92		+21.27		0.77%		1.10%		-0.01%		668788810000	--		--		25468804000	无		无		0.00		0		0		0		18325000--	4725.96		4737.65		4771.43		4719.13		--		--		--		--		--		1.06		0		--		--		--		--		
SH000016	上证50		+0.39%		3134.32		+12.26		0.36%		1.10%		-0.02%		177739530000	--		--		6014927700	无		无		0.00		0		0		0		9657100--	3121.16		3122.06		3146.73		3112.46		--		--		--		--		--		1.18		0		--		--		--		--		
SH000905	中证500		+2.05%		8056.69		+162.15		2.82%		1.99%		+0.02%		631145880000	--		--		31462467000	无		无		0.00		0		0		0		12933000--	7907.85		7894.54		8064.76		7907.85		--		--		--		--		--		1.17		0		--		--		--		--		
SZ399303	国证2000	+1.96%		10673.61	+205.10		4.59%		1.95%		+0.04%		1057920640000	--		--		59115537000	无		无		0.00		0		0		0		51170000--	10471.62	10468.51	10675.54	10471.62	--		--		--		--		--		1.24		0		--		--		--		--		
883304		中证500		+2.05%		8056.690	+162.150	3.84%		1.99%		+0.01%		631145880000	18819675000000	16422291000000	31462467000	无		无		-0.17		0		0		2.43		12933000--	7907.850	7894.540	8064.760	7907.850	--		--		--		--		-36.04		1.17		0		971		--		--		--		
