代码		    名称		涨幅		现价		当日成交额		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		早盘竞价金额		尾盘竞价金额		
SH600000	浦发银行	-1.75%		11.79		8.33亿		0.21%		0.72		3926.76亿	--		--		银行		【跨境支付(CIPS);证金持股;信托概念;沪股通;融资融券】	--		0		+1.29%		+3.51%		-0.75		4749708		12235780	
SH600004	白云机场	-0.63%		9.46		1.46亿		0.65%		0.69		223.89亿	--		--		机场航运	【同花顺中特估100;国企改革;免税店;粤港澳大湾区;沪股通;融资融券】	--		0		-2.47%		-3.17%		+0.00		443632		1346158		
SH600006	东风股份	-1.23%		7.22		1.47亿		1.01%		1.28		144.40亿	--		--		汽车整车	【燃料电池;碳中和;智能物流;冷链物流;国企改革;车联网(车路协同);一体化压铸;氢能源;央企国企改革;无人驾驶;DeepSeek概念;新能源汽车;沪股通;融资融券】	--		0		-0.82%		-1.90%		-0.14		713940		1454830		
SH600007	中国国贸	-1.36%		19.53		4258.45万	0.22%		0.79		196.72亿	--		--		房地产		【同花顺中特估100;物业管理;国企改革;中字头股票;沪股通;融资融券】	--		0		+2.47%		-0.86%		-0.05		191963		527310		
SH600008	首创环保	-0.33%		3.04		1.78亿		0.80%		1.19		223.15亿	--		--		环境治理	【煤化工概念;医疗废物处理;PPP概念;国企改革;固废处理;绿色电力;污水处理;新型城镇化;雄安新区;净水概念;地下管网;乡村振兴;土壤修复;垃圾分类;京津冀一体化;智慧城市;DeepSeek概念;人工智能;沪股通;融资融券;机器人概念】	--		0		+0.66%		+0.33%		+0.00		2469768		2920929		
SH600009	上海机场	-0.49%		32.81		3.74亿		0.55%		0.94		671.38亿	--		--		机场航运	【免税店;证金持股;上海国企改革;国企改革;同花顺中特估100;上海自贸区;同花顺漂亮100;沪股通;融资融券】	--		0		-1.88%		+2.05%		+0.12		1043116		1848122		
SH600010	包钢股份	+2.38%		2.58		38.32亿		4.75%		2.76		809.62亿	--		--		钢铁		【稀土永磁;特钢概念;国企改革;雅下水电概念;西部大开发;一带一路;证金持股;风电;氟化工概念;回购增持再贷款概念;工业互联网;沪股通;融资融券;数据中心】	--		0		+7.50%		+5.31%		+1.59		38627840	14653368	
SH600011	华能国际	-0.27%		7.42		4.46亿		0.54%		0.58		816.03亿	--		--		电力		【超超临界发电;证金持股;央企国企改革;绿色电力;国企改革;核电;风电;碳中和;沪股通;融资融券】	--		0		-5.36%		-4.87%		-0.27		2758756		4011994		
SH600012	皖通高速	-0.96%		14.45		6128.90万	0.36%		0.75		168.43亿	--		--		公路铁路运输	【PPP概念;国企改革;DeepSeek概念;沪股通;融资融券】	--		0		+1.47%		-2.36%		-0.27		337560		1549040		
SH600015	华夏银行	-1.01%		6.83		3.98亿		0.38%		1.33		1050.95亿	--		--		银行		【证金持股;跨境支付(CIPS);沪股通;融资融券】	--		0		+0.00%		-1.59%		-0.14		2565836		8308900		
SH600016	民生银行	-0.52%		3.85		9.29亿		0.68%		0.97		1365.29亿	--		--		银行		【高股息精选;跨境支付(CIPS);沪股通;融资融券】	--		0		-0.77%		-3.75%		-0.26		3588642		12008150	
SH600017	日照港		-0.33%		3.02		5839.34万	0.63%		0.97		92.88亿		--		--		港口航运	【航运概念;国企改革;中韩自贸区;证金持股;冷链物流;乡村振兴;绿色电力;一带一路;免税店;DeepSeek概念;虚拟电厂;华为概念;融资融券;沪股通】	--		0		-0.33%		-0.33%		+0.00		309666		1062134		
SH600018	上港集团	-0.55%		5.45		1.31亿		0.10%		0.56		1266.95亿	--		--		港口航运	【同花顺中特估100;证金持股;航运概念;参股银行;国企改革;上海国企改革;足球概念;体育产业;免税店;自由贸易港;一带一路;创投;上海自贸区;长三角一体化;沪股通;融资融券;F5G概念】	--		0		-2.15%		-2.85%		+0.00		1528372		1093270		
SH600019	宝钢股份	-1.22%		7.26		8.45亿		0.53%		1.33		1581.38亿	--		--		钢铁		【特钢概念;同花顺中特估100;证金持股;参股银行;国企改革;央企国企改革;一带一路;核电;同花顺漂亮100;石墨电极;AI智能体;特斯拉概念;沪股通;融资融券】	--		0		+0.55%		+1.11%		-0.54		3228096		7466961		
SH600020	中原高速	-0.70%		4.25		4581.66万	0.48%		0.96		95.51亿		--		--		公路铁路运输	【参股银行;信托概念;参股保险;国企改革;化债概念(AMC概念);创投;文化传媒概念;回购增持再贷款概念;充电桩;沪股通;融资融券】	--		0		-0.47%		-4.28%		+0.00		304308		471325		
SH600021	上海电力	+4.33%		21.69		30.77亿		5.04%		1.33		611.93亿	--		--		电力		【超超临界发电;虚拟电厂;核电;风电;碳交易;央企国企改革;储能;绿色电力;一带一路;氢能源;国企改革;沪股通;融资融券;证金持股】	--		0		+10.21%		+7.16%		-0.10		9593663		35687642	
SH600022	山东钢铁	+0.00%		1.54		1.54亿		0.93%		1.09		164.76亿	--		--		钢铁		【特钢概念;国企改革;回购增持再贷款概念;工业互联网;人工智能;机器人概念;融资融券;沪股通】	--		0		+0.00%		+0.65%		+0.65		2646625		2635864		
SH600023	浙能电力	+0.40%		5.00		2.73亿		0.41%		0.77		670.44亿	--		--		电力		【超超临界发电;绿色电力;国企改革;核电;可控核聚变;沪股通;融资融券】	--		0		-2.34%		-2.34%		+0.00		2726550		3919000		
SH600025	华能水电	-0.33%		9.09		1.79亿		0.11%		0.98		1636.20亿	--		--		电力		【央企国企改革;国企改革;绿色电力;西部大开发;水利;风电;同花顺漂亮100;沪股通;DeepSeek概念;华为概念;融资融券】	--		0		-1.84%		-3.40%		+0.22		2474198		1203516		
SH600026	中远海能	-0.08%		11.99		6.23亿		1.47%		1.24		416.63亿	--		--		港口航运	【航运概念;俄乌冲突概念;上海自贸区;天然气;央企国企改革;同花顺中特估100;回购增持再贷款概念;国企改革;一带一路;证金持股;人民币贬值受益;沪股通;融资融券;中字头股票】	--		0		+0.42%		+5.73%		+1.50		9613674		4450688		
SH600027	华电国际	-0.20%		5.01		3.16亿		0.74%		0.50		426.37亿	--		--		电力		【煤炭概念;超超临界发电;证金持股;绿色电力;国企改革;央企国企改革;风电;虚拟电厂;沪股通;融资融券;股权转让(并购重组)】	--		0		-3.28%		-3.65%		+0.00		2562710		2661462		
SH600028	中国石化	-1.29%		6.10		8.71亿		0.15%		0.67		5779.90亿	--		--		石油加工贸易	【同花顺中特估100;可燃冰;证金持股;煤化工概念;天然气;中字头股票;国企改革;央企国企改革;页岩气;一带一路;沪股通;融资融券;回购增持再贷款概念;氢能源;充电桩】	--		0		+3.92%		+2.35%		-0.65		6754614		6802110		
SH600029	南方航空	+0.74%		8.15		3.66亿		0.33%		0.57		1098.37亿	--		--		机场航运	【证金持股;国企改革;央企国企改革;沪股通;融资融券】	--		0		+6.54%		+14.79%		+0.25		2750101		9194015		
SH600030	中信证券	-2.29%		29.50		68.30亿		1.88%		1.47		3592.08亿	--		--		证券		【期货概念;证金持股;同花顺中特估100;沪股通;融资融券;同花顺漂亮100】	--		0		+2.97%		+2.79%		+0.07		56924703	103330240	
SH600031	三一重工	-0.69%		21.73		12.72亿		0.69%		0.85		1841.48亿	--		--		工程机械	【同花顺出海50;雅下水电概念;农机;新疆振兴;证金持股;无人驾驶;一带一路;工业互联网;机器人概念;高端装备;同花顺漂亮100;人民币贬值受益;沪股通;融资融券】	--		0		+4.02%		+2.36%		+0.00		5294960		14845936	
SH600032	浙江新能	-0.40%		7.51		5203.61万	0.29%		0.90		180.59亿	--		--		电力		【绿色电力;国企改革;抽水蓄能;风电;氢能源;沪股通;融资融券】	--		0		+1.35%		+2.18%		+0.27		144396		540720		
SH600033	福建高速	+1.23%		4.11		2.78亿		2.47%		0.99		112.79亿	--		--		公路铁路运输	【福建自贸区;海峡两岸;参股银行;参股保险;国企改革;回购增持再贷款概念;融资融券;沪股通】	--		0		-4.20%		-8.67%		+0.25		1726087		3361569		
SH600035	楚天高速	-0.25%		3.92		3324.14万	0.53%		1.06		63.12亿		--		--		公路铁路运输	【国企改革;智能医疗;在线教育;ETC;氢能源;人工智能;物联网;车联网(车路协同);国产操作系统;华为概念;WiFi 6;无线耳机;沪股通;融资融券】	--		0		+0.00%		-2.49%		+0.00		332478		211680		
SH600036	招商银行	-1.36%		42.15		37.36亿		0.43%		1.15		8695.10亿	--		--		银行		【同花顺中特估100;证金持股;跨境支付(CIPS);沪股通;融资融券;同花顺漂亮100】	--		0		+0.91%		-2.39%		+0.05		21139875	47153205	
SH600037	歌华有线	+0.13%		7.47		1.26亿		1.20%		1.15		103.97亿	--		--		文化传媒	【文化传媒概念;国资云;智慧城市;DeepSeek概念;云游戏;国企改革;证金持股;物联网;华为概念;央企国企改革;数据中心;5G;融资融券;沪股通】	--		0		+2.05%		-0.66%		+0.00		317796		1112283		
SH600038	中直股份	-0.65%		36.83		4.44亿		1.80%		1.06		246.37亿	--		--		军工装备	【央企国企改革;黑龙江自贸区;国企改革;国产航母;军民融合;低空经济;军工;大飞机;无人机;高端装备;飞行汽车(eVTOL);沪股通;融资融券;中字头股票】	--		0		+4.45%		+4.25%		-0.03		3520700		3207893		
SH600039	四川路桥	-1.30%		9.89		4.37亿		0.51%		1.95		859.77亿	--		--		建筑装饰	【PPP概念;雅下水电概念;同花顺中特估100;国企改革;西部大开发;碳中和;碳交易;一带一路;锂电池概念;沪股通;融资融券;金属铜】	--		0		+1.44%		+6.12%		-0.80		1455216		24148413	
SH600048	保利发展	-1.39%		6.39		9.17亿		1.19%		0.87		764.91亿	--		--		房地产		【租售同权;物业管理;证金持股;国企改革;央企国企改革;智能家居;同花顺漂亮100;沪股通;融资融券】	--		0		+0.79%		-1.84%		-0.15		4120743		7659054		
SH600050	中国联通	-1.15%		5.16		9.23亿		0.58%		1.17		1587.57亿	--		--		通信服务	【同花顺中特估100;国企改革;央企国企改革;DeepSeek概念;国资云;数据要素;一带一路;区块链;智能家居;人工智能;中字头股票;移动支付;云计算;数据安全;物联网;阿里巴巴概念;卫星导航;商业航天;量子科技;数据中心;6G概念;5G;沪股通;融资融券;同花顺新质50;中国AI 50】	--		0		+0.39%		-3.19%		+0.00		7478172		18221508	
SH600051	宁波联合	-1.45%		7.50		3981.03万	1.70%		1.14		23.32亿		--		--		综合		【物业管理;共同富裕示范区;跨境电商;旅游概念;绿色电力;航运概念;煤炭概念】	--		0		-0.13%		-2.98%		+0.26		414309		247500		
SH600052	东望时代	-1.05%		4.71		6087.57万	1.52%		0.97		39.76亿		--		--		电力		【体育产业;国企改革;文化传媒概念;储能;锂电池概念】	--		0		-4.27%		-7.10%		+0.00		383656		327345		
SH600053	九鼎投资	+10.00%		21.56		3.77亿		4.13%		1.76		93.47亿		--		--		多元金融	【创投;PPP概念;人形机器人;跨境电商;沪股通;融资融券】	--		65537		+11.88%		+14.68%		+0.77		870975		228536		
SH600054	黄山旅游	+0.09%		11.47		6999.46万	1.19%		1.30		58.88亿		--		--		旅游及酒店	【旅游概念;参股券商;国企改革;DeepSeek概念;区块链;沪股通】	--		0		-0.95%		+1.33%		+0.09		520738		399225		
SH600055	万东医疗	-0.06%		16.42		9361.85万	0.81%		0.89		115.44亿	--		--		医疗器械	【医疗器械概念;智能医疗;京津冀一体化;DeepSeek概念;阿里巴巴概念;云计算;绿色电力;一带一路;机器人概念;数据中心;超导概念;沪股通;融资融券】	--		0		+2.95%		+2.69%		+0.49		498602		1426898		
SH600056	中国医药	-0.66%		10.50		1.38亿		0.87%		1.12		157.01亿	--		--		医药商业	【医药电商;流感;肝炎概念;仿制药一致性评价;猴痘概念;证金持股;创新药;医疗器械概念;国企改革;央企国企改革;中字头股票;沪股通;融资融券】	--		0		-0.57%		-3.67%		+0.00		769496		1436400		
SH600057	厦门象屿	+1.90%		8.57		2.32亿		1.30%		1.12		179.33亿	--		--		物流		【海峡两岸;玉米;福建自贸区;农业种植;统一大市场;土地流转;冷链物流;乡村振兴;国企改革;一带一路;智能物流;数据要素;DeepSeek概念;沪股通;融资融券】	--		0		+0.82%		-5.93%		-0.12		561120		1948818		
SH600058	五矿发展	--		--		0.00		0.00%		0.00		123.48亿	--		--		贸易		【央企国企改革;一带一路;国企改革;统一大市场;小金属概念;融资融券;沪股通】	--		--		+25.08%		+32.57%		--		--		--		
SH600059	古越龙山	-0.97%		9.21		8443.14万	1.00%		1.33		83.95亿		--		--		饮料制造	【白酒概念;超级品牌;跨境电商;国企改革;回购增持再贷款概念;融资融券;乡村振兴;沪股通】	--		0		-0.75%		+1.10%		+0.22		547084		1260849		
SH600060	海信视像	-1.89%		23.88		2.71亿		0.87%		1.22		310.48亿	--		--		黑色家电	【智能家居;虚拟数字人;数字经济;DeepSeek概念;数据要素;人工智能;家用电器;元宇宙;多模态AI;AI智能体;虚拟现实;机器人概念;MR(混合现实);智能穿戴;AI眼镜;汽车电子;芯片概念;MCU芯片;沪股通;融资融券;MiniLED;消费电子概念】	--		0		-2.17%		-6.21%		-0.16		733860		3761100		
SH600061	国投资本	-0.88%		7.84		3.62亿		0.72%		1.13		501.29亿	--		--		证券		【期货概念;参股券商;信托概念;证金持股;国企改革;雄安新区;央企国企改革;沪股通;融资融券】	--		0		+3.98%		+3.16%		+0.00		3056424		3469200		
SH600062	华润双鹤	-0.38%		18.55		1.02亿		0.53%		1.00		191.62亿	--		--		化学制药	【仿制药一致性评价;NMN概念;创新药;合成生物;青蒿素;减肥药;国企改革;央企国企改革;智能医疗;DeepSeek概念;沪股通;融资融券】	--		0		+0.27%		-1.01%		+0.16		833655		1485521		
SH600063	皖维高新	+2.27%		6.31		3.37亿		2.60%		1.44		130.56亿	--		--		化学纤维	【水泥概念;参股券商;国企改革;光伏概念;2025三季报预增;专精特新;融资融券;沪股通】	--		0		+2.44%		+5.52%		+0.00		1103813		2402217		
SH600064	南京高科	-1.46%		8.77		2.07亿		1.36%		0.93		151.75亿	--		--		房地产		【参股券商;参股银行;污水处理;证金持股;创投;国企改革;融资融券;沪股通】	--		0		+5.92%		+3.06%		+0.00		1153440		2295986		
