代码		    名称		涨幅		现价		当日成交额		3日成交额		5日成交额		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		早盘竞价金额		尾盘竞价金额
SH600000	浦发银行	-2.12%		11.54		9.25亿		--		--		0.24%		0.85		3843.49亿	--		--		银行		【跨境支付(CIPS);证金持股;信托概念;沪股通;融资融券】	--		0		-2.45%		+1.94%		-0.08		2049720		9226230
SH600004	白云机场	-0.11%		9.45		1.23亿		--		--		0.55%		0.62		223.65亿	--		--		机场航运	【同花顺中特估100;国企改革;免税店;粤港澳大湾区;沪股通;融资融券】	--		0		-1.36%		-2.07%		-0.32		549769		1058400
SH600006	东风股份	+0.28%		7.24		1.22亿		--		--		0.84%		0.99		144.80亿	--		--		汽车整车	【燃料电池;碳中和;智能物流;冷链物流;国企改革;车联网(车路协同);一体化压铸;氢能源;央企国企改革;无人驾驶;DeepSeek概念;新能源汽车;沪股通;融资融券】	--		0		+0.84%		-0.14%		+0.00		174002		2489836
SH600007	中国国贸	+0.46%		19.62		3217.83万	--		--		0.16%		0.63		197.63亿	--		--		房地产		【同花顺中特估100;物业管理;国企改革;中字头股票;沪股通;融资融券】	--		0		+2.40%		+1.66%		-0.20		202696		706320
SH600008	首创环保	-0.33%		3.03		1.84亿		--		--		0.82%		1.14		222.42亿	--		--		环境治理	【煤化工概念;医疗废物处理;PPP概念;国企改革;固废处理;绿色电力;污水处理;新型城镇化;雄安新区;净水概念;地下管网;乡村振兴;土壤修复;垃圾分类;京津冀一体化;智慧城市;DeepSeek概念;人工智能;沪股通;融资融券;机器人概念】	--		0		+0.66%		+0.33%		+0.00		731424		2563683
SH600009	上海机场	+0.06%		32.83		3.28亿		--		--		0.49%		0.82		671.79亿	--		--		机场航运	【免税店;证金持股;上海国企改革;国企改革;同花顺中特估100;上海自贸区;同花顺漂亮100;沪股通;融资融券】	--		0		-1.11%		+3.11%		+0.03		902550		6157890
SH600010	包钢股份	-1.94%		2.53		20.64亿		--		--		2.59%		1.07		793.93亿	--		--		钢铁		【稀土永磁;特钢概念;国企改革;雅下水电概念;西部大开发;一带一路;证金持股;风电;氟化工概念;回购增持再贷款概念;工业互联网;沪股通;融资融券;数据中心】	--		0		+6.30%		+4.98%		-1.16		21376140	10719509
SH600011	华能国际	-0.40%		7.39		4.15亿		--		--		0.51%		0.67		812.73亿	--		--		电力		【超超临界发电;证金持股;央企国企改革;绿色电力;国企改革;核电;风电;碳中和;沪股通;融资融券】	--		0		-6.81%		-5.13%		+0.00		1446158		4147756
SH600012	皖通高速	+0.35%		14.50		5983.48万	--		--		0.36%		0.87		169.01亿	--		--		公路铁路运输	【PPP概念;国企改革;DeepSeek概念;沪股通;融资融券】	--		0		-0.21%		-1.02%		+0.21		330144		424995
SH600015	华夏银行	-0.59%		6.79		4.35亿		--		--		0.42%		1.44		1044.79亿	--		--		银行		【证金持股;跨境支付(CIPS);沪股通;融资融券】	--		0		-0.59%		-1.16%		+0.00		991579		6763519
SH600016	民生银行	-0.52%		3.83		9.27亿		--		--		0.68%		0.98		1358.20亿	--		--		银行		【高股息精选;跨境支付(CIPS);沪股通;融资融券】	--		0		+0.00%		-3.53%		-0.26		2374433		25710407
