代码		    名称		涨幅		现价		昨日成交额		当日成交额		主力净额		资金流向		主力资金流向[20260113]		净流入		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		开盘涨幅		早盘竞价金额		尾盘竞价金额		首次涨停时间		最终涨停时间
SH600000	浦发银行	-0.77%		11.57		6.98亿		5.78亿		-10014179	168.65万	-6850.45万	-116134430	0.15%		0.66		3853.49亿	--		--		银行		【跨境支付(CIPS);证金持股;信托概念;沪股通;融资融券】	--		0		-1.28%		-0.34%		+0.51		+0.51%		5934293		9822930		--		--
SH600004	白云机场	-0.11%		9.48		1.99亿		2.32亿		+6309839	--		-110.63万	-15215530	1.03%		1.44		224.36亿	--		--		机场航运	【同花顺中特估100;国企改革;免税店;粤港澳大湾区;沪股通;融资融券】	--		0		-1.15%		-0.42%		+0.00		+0.00%		984113		1179312		--		--
SH600006	东风股份	+0.95%		7.45		2.60亿		4.36亿		+41682592	1336.55万	2695.00万	13392706	2.92%		2.46		149.00亿	--		--		汽车整车	【燃料电池;碳中和;智能物流;冷链物流;国企改革;车联网(车路协同);一体化压铸;氢能源;央企国企改革;无人驾驶;DeepSeek概念;新能源汽车;沪股通;融资融券】	--		0		+3.47%		+4.63%		+0.00		+0.00%		1626552		3181150		--		--
SH600007	中国国贸	-0.81%		19.54		4584.46万	6050.30万	-3105382	15.42万		-377.12万	-6744543	0.31%		1.14		196.82亿	--		--		房地产		【同花顺中特估100;物业管理;国企改革;中字头股票;沪股通;融资融券】	--		0		+0.05%		+4.16%		+0.36		+0.36%		199677		750336		--		--
SH600008	首创环保	+0.00%		3.03		2.13亿		2.32亿		+2942929	4449.02万	3365.06万	42710844	1.04%		1.25		222.42亿	--		--		环境治理	【煤化工概念;医疗废物处理;PPP概念;国企改革;固废处理;绿色电力;污水处理;新型城镇化;雄安新区;净水概念;地下管网;乡村振兴;土壤修复;垃圾分类;京津冀一体化;智慧城市;DeepSeek概念;人工智能;沪股通;融资融券;机器人概念】	--		0		+0.00%		+1.34%		+0.00		+0.00%		1140492		2749725		--		--
SH600009	上海机场	-0.03%		32.53		4.58亿		6.78亿		+26966308	464.72万	-2576.61万	-67350251	1.01%		1.75		665.65亿	--		--		机场航运	【免税店;证金持股;上海国企改革;国企改革;同花顺中特估100;上海自贸区;同花顺漂亮100;沪股通;融资融券】	--		0		-2.55%		+4.87%		+0.65		+0.65%		9933075		4235406		--		--
SH600010	包钢股份	-2.97%		2.61		45.33亿		26.53亿		-331486770	12.14亿		-4.73亿		-682086520	3.22%		0.86		819.04亿	--		--		钢铁		【稀土永磁;特钢概念;国企改革;雅下水电概念;西部大开发;一带一路;证金持股;风电;氟化工概念;回购增持再贷款概念;工业互联网;沪股通;融资融券;数据中心】	--		0		+8.75%		+9.21%		-0.37		-0.37%		21927492	18317763	--		--
SH600011	华能国际	+0.41%		7.42		4.42亿		5.02亿		+5909344	2493.27万	641.40万	23689237	0.62%		1.10		816.03亿	--		--		电力		【超超临界发电;证金持股;央企国企改革;绿色电力;国企改革;核电;风电;碳中和;沪股通;融资融券】	--		0		-8.28%		-5.48%		+0.00		+0.00%		1373801		3862852		--		--
SH600012	皖通高速	+0.96%		14.73		5609.67万	6921.73万	+1887320	396.13万	142.00万	4036688		0.40%		1.09		171.69亿	--		--		公路铁路运输	【PPP概念;国企改革;DeepSeek概念;沪股通;融资融券】	--		0		-2.84%		+0.14%		+0.69		+0.69%		499460		1181346		--		--
SH600015	华夏银行	-0.15%		6.77		2.86亿		3.88亿		+29351605	195.40万	1979.25万	1888242		0.37%		1.14		1041.72亿	--		--		银行		【证金持股;跨境支付(CIPS);沪股通;融资融券】	--		0		-0.73%		-0.15%		+0.00		+0.00%		1391256		4393730		--		--
SH600016	民生银行	+0.78%		3.87		11.36亿		15.04亿		+98605704	3.57亿		2.61亿		356455319	1.10%		1.49		1372.38亿	--		--		银行		【高股息精选;跨境支付(CIPS);沪股通;融资融券】	--		0		+0.26%		-0.77%		+0.00		+0.00%		9876864		9549999		--		--
SH600017	日照港		-0.33%		3.05		1.10亿		8727.99万	+2802661	63.25万		255.70万	-7771690	0.93%		1.16		93.81亿		--		--		港口航运	【航运概念;国企改革;中韩自贸区;证金持股;冷链物流;乡村振兴;绿色电力;一带一路;免税店;DeepSeek概念;虚拟电厂;华为概念;融资融券;沪股通】	--		0		+0.99%		+2.35%		+0.00		+0.00%		855882		950380		--		--
