板块名称		涨幅		1分钟涨速		4分钟涨速		主力净量		主力金额		涨停数		涨家数		跌家数		领涨股		5日涨幅		10日涨幅		20日涨幅		概念解析		创建日期		年初至今		20160127至今		量比		总手		总金额		总市值		流通市值		
Sora概念(文生视频)	+10.43%		+0.03%		+0.03%		4.36		+4308447300	15		42		0		流金科技	+18.92%		+25.76%		+24.64%		--		--		+23.09%		+191.04%	2.04		5200023300	79925607000	714411070000	659659720000
AI语料		+9.18%		+0.01%		+0.01%		7.89		+8363240300	14		48		0		福石控股	+16.60%		+23.17%		+23.76%		--		--		+12.87%		+54.14%		1.77		5346404000	104592030000	1220540090000	1042039180000
智谱AI		+9.00%		+0.03%		+0.03%		4.21		+4615750400	17		66		2		并行科技	+16.55%		+24.46%		+25.15%		--		--		+12.66%		+84.70%		1.55		5800506300	122282639000	1288220810000	1187197020000
小红书概念	+8.79%		+0.05%		+0.05%		2.35		+1597911300	18		49		4		美登科技	+19.58%		+28.37%		+26.93%		--		--		+18.05%		+86.16%		0.90		4973526400	82712494000	598556370000	548437740000
快手概念	+8.65%		+0.04%		+0.04%		3.89		+2826781400	15		46		1		蓝色光标	+18.70%		+27.94%		+27.11%		--		--		+18.03%		+133.36%	0.98		5592554400	86669419000	659905580000	604771970000
多模态AI	+8.25%		+0.05%		+0.05%		4.87		+11986521000	29		138		3		众诚科技	+16.13%		+22.60%		+24.90%		--		--		+13.96%		+61.94%		1.33		11231122600	254550840000	3155141600000	2665629100000
华为昇腾	+7.82%		+0.03%		+0.03%		2.34		+5533975800	12		96		4		众诚科技	+15.69%		+20.32%		+23.46%		--		--		+13.03%		+101.92%	1.80		5818827900	144451380000	1634562600000	1442643700000
短剧游戏	+7.79%		+0.04%		+0.05%		2.08		+4079917400	21		61		5		流金科技	+17.33%		+24.02%		+22.33%		--		--		+15.01%		+58.37%		1.40		8188145600	113953832000	1106394150000	1019254460000
华为欧拉	+7.71%		+0.01%		+0.01%		5.39		+2943119000	3		46		0		普元信息	+12.62%		+18.01%		+21.15%		--		--		+8.63%		+95.53%		1.86		2898824300	80184384000	757352510000	672725380000
华为盘古	+7.65%		+0.00%		+0.00%		4.43		+1938007800	2		28		1		拓尔思		+15.57%		+20.91%		+23.09%		--		--		+12.86%		+37.23%		2.21		2071784700	42306178000	401294410000	359257710000
Web3.0		+7.52%		+0.01%		+0.01%		2.18		+3371354100	13		62		4		福石控股	+15.06%		+21.21%		+20.95%		--		--		+18.20%		+139.99%	1.51		6081713300	116053988000	948514870000	914121470000
财税数字化	+7.47%		+0.00%		+0.00%		5.27		+4206526400	6		64		2		汉得信息	+13.30%		+19.93%		+22.10%		--		--		+8.87%		--		1.95		4379719800	81517731000	929656130000	855097390000
ERP概念		+7.45%		+0.01%		+0.01%		3.82		+2733602200	4		35		0		美登科技	+13.93%		+18.82%		+22.44%		--		--		+16.64%		--		1.63		2247677200	51116275000	601545220000	525844600000
军工信息化	+7.43%		+0.04%		+0.04%		4.31		+4116883000	19		101		6		富士达		+18.16%		+24.38%		+31.13%		--		--		+15.01%		--		1.27		7516173600	192625340000	1632570800000	1492414200000
