板块名称		涨幅		1分钟涨速		4分钟涨速		主力净量		主力金额		涨停数		涨家数		跌家数		领涨股		5日涨幅		10日涨幅		20日涨幅		概念解析		创建日期		年初至今		20160127至今		量比		总手		总金额		总市值		流通市值		
文化传媒	+5.02%		+0.05%		+0.05%		6.51		+6711699900	10		79		5		天龙集团	+10.37%		+13.46%		+8.24%		--		--		+10.37%		--		1.44		6071579400	78952122000	1012889580000	933955530000	
小金属		+4.68%		+0.04%		+0.05%		3.40		+2769505700	3		26		1		云南锗业	+12.22%		+12.62%		+23.64%		--		--		+12.22%		--		1.21		1514284700	53136564000	1083200000000	881453490000	
通信服务	+3.92%		+0.03%		+0.04%		1.59		+1760870200	3		40		4		会畅科技	+9.51%		+10.67%		+6.56%		--		--		+6.82%		--		1.86		2784939300	45982473000	3368708600000	1168941810000	
游戏		+3.87%		+0.09%		+0.09%		4.23		+2611087500	1		22		2		昆仑万维	+9.90%		+10.81%		+10.24%		--		--		+9.90%		--		1.44		1962195800	32796839000	650388560000	601974600000	
互联网电商	+3.49%		+0.05%		+0.06%		-0.55		+89321270	0		17		1		青木科技	+7.82%		+7.59%		+4.82%		--		--		+4.16%		--		1.47		435018940	6238908600	148400240000	117131298000	
贵金属		+3.44%		+0.06%		+0.06%		0.49		+288663410	0		11		0		晓程科技	+7.58%		+4.90%		+11.90%		--		--		+4.10%		--		0.91		684781770	14112362000	591469180000	520960630000	
医疗服务	+3.44%		+0.01%		+0.03%		1.37		-117956800	4		45		8		迪安诊断	+14.06%		+12.95%		+13.66%		--		--		+10.53%		--		1.44		1511121800	37446143000	1005070850000	835529890000	
软件开发	+3.41%		+0.06%		+0.05%		1.14		+2364557500	3		125		13		众诚科技	+9.12%		+10.98%		+8.89%		--		--		+9.12%		--		1.42		4110208500	96722647000	2104304000000	1834155800000	
IT服务		+3.27%		+0.05%		+0.05%		-2.30		-509667500	5		110		15		ST赛为		+9.44%		+11.75%		+9.96%		--		--		+5.72%		--		1.77		7302211600	116953995000	1616075900000	1404187600000	
油气开采及服务	+3.24%		+0.02%		+0.03%		2.18		+587270920	1		19		0		洲际油气	+7.77%		+7.93%		+7.06%		--		--		+5.39%		--		1.34		1892831400	10287671100	1699523200000	374684440000	
军工电子	+3.06%		+0.05%		+0.05%		-4.19		-2637529200	2		49		12		上海瀚讯	+13.89%		+22.09%		+27.80%		--		--		+13.89%		--		1.26		4267857200	123121754000	1151016120000	1020039700000	
影视院线	+2.96%		+0.05%		+0.11%		1.04		+370553760	0		20		0		欢瑞世纪	+6.98%		+10.04%		+1.57%		--		--		+4.05%		--		1.30		1319495090	12022019000	253995780000	235013220000	
多元金融	+2.78%		+0.00%		+0.01%		0.49		+403602130	3		25		1		鲁信创投	+4.86%		+8.51%		+11.07%		--		--		+4.86%		--		1.08		1490208800	14821336000	608648570000	580675840000	
军工装备	+2.71%		+0.02%		+0.02%		-1.65		-544915000	3		65		16		华秦科技	+11.30%		+18.38%		+21.19%		--		--		+10.80%		--		1.46		5436704400	175193870000	2740343300000	2333011000000	
零售		+2.44%		+0.05%		+0.06%		1.71		+1441220400	3		64		7		茂业商业	+4.91%		+1.17%		+4.45%		--		--		+2.67%		--		1.27		4587483600	42357414000	948233220000	893592980000	
教育		+2.37%		+0.02%		+0.02%		3.17		+226491180	1		15		2		博瑞传播	+6.83%		+7.29%		+5.88%		--		--		+5.56%		--		1.33		983115180	7282347900	110860894000	104008491000	
