板块名称		涨幅		1分钟涨速		4分钟涨速		主力净量		主力金额		涨停数		涨家数		跌家数		领涨股		5日涨幅		10日涨幅		20日涨幅		概念解析		创建日期		年初至今		20160127至今		量比		总手		总金额		总市值		流通市值
文化传媒	+7.96%		+0.03%		+0.03%		1.28		+3297653700	25		82		2		流金科技	+16.07%		+21.43%		+19.83%		--		--		+19.16%		-6.81%		1.55		7244832000	94787873000	1100116570000	1012601340000
IT服务		+7.92%		+0.01%		+0.01%		2.02		+4278687600	13		125		3		天润科技	+14.93%		+19.32%		+20.55%		--		--		+18.11%		+142.60%	1.67		8224940700	153889150000	1747321100000	1516374700000
软件开发	+7.76%		+0.03%		+0.03%		4.82		+9190615000	18		133		4		众诚科技	+14.52%		+18.00%		+20.24%		--		--		+17.59%		+168.71%	1.98		6402225600	171392460000	2286371100000	1990197300000
军工电子	+7.35%		+0.06%		+0.06%		2.56		+1540863600	9		58		4		华力创通	+19.85%		+27.42%		+37.64%		--		--		+22.25%		+267.51%	1.13		4143920700	131590095000	1238787100000	1100682990000
影视院线	+6.48%		+0.05%		+0.05%		4.88		+744057300	2		19		1		百纳千成	+13.51%		+16.97%		+10.47%		--		--		+13.92%		+81.71%		1.87		1975380000	19299000000	270528730000	249895960000
游戏		+5.98%		+0.05%		+0.05%		2.26		+1189103900	3		21		3		昆仑万维	+11.88%		+16.75%		+19.26%		--		--		+16.47%		+24.90%		1.87		2981430100	50808576000	688401070000	637300840000
互联网电商	+5.59%		+0.01%		+0.01%		0.17		+126523740	1		15		4		壹网壹创	+11.45%		+12.44%		+13.03%		--		--		+13.85%		+97.84%		2.17		713444850	10650601700	157047820000	123419442000
通信服务	+5.09%		+0.05%		+0.05%		-0.09		+88301400	4		42		3		润泽科技	+11.97%		+15.22%		+13.85%		--		--		+15.09%		-4.02%		1.70		3132663800	53231102000	3421534100000	1213191160000
军工装备	+4.96%		+0.02%		+0.02%		-0.72		-1290670000	4		74		7		理工导航	+14.74%		+20.46%		+27.74%		--		--		+16.82%		+113.80%	1.13		4779983600	158433880000	2864767500000	2445044800000
计算机设备	+4.72%		+0.02%		+0.02%		2.21		+2037331800	4		77		4		同辉信息	+8.84%		+12.40%		+15.12%		--		--		+10.58%		+44.38%		1.43		2361963400	60135621000	1367452800000	1240354950000
通信设备	+4.25%		+0.04%		+0.04%		0.52		-1479208000	7		76		13		富士达		+9.42%		+11.41%		+18.91%		--		--		+11.62%		+175.56%	1.24		3764276400	166163960000	2995293600000	2635774600000
教育		+3.97%		+0.01%		+0.01%		2.46		+210425470	2		14		2		豆神教育	+9.02%		+11.07%		+12.34%		--		--		+11.08%		--		1.52		1199112890	9066065100	116337955000	108904871000
黑色家电	+3.79%		+0.04%		+0.04%		8.71		+1126630750	2		8		1		四川长虹	+5.54%		+10.10%		+12.57%		--		--		+8.33%		--		2.50		811843670	8799023500	169908360000	167141250000
医疗服务	+3.34%		+0.04%		+0.04%		0.61		-477334500	3		39		14		迪安诊断	+11.63%		+15.59%		+18.54%		--		--		+17.87%		--		1.23		1501824200	39855938000	1026345200000	851942940000
金属新材料	+3.30%		+0.07%		+0.07%		-1.34		-327124600	1		26		5		天力复合	+11.27%		+10.80%		+19.94%		--		--		+13.17%		+500.29%	1.20		871115410	24789583000	407372700000	343062110000
其他社会服务	+3.29%		+0.06%		+0.06%		0.86		+208609380	1		36		1		科锐国际	+7.13%		+8.46%		+9.66%		--		--		+9.77%		+240.14%	1.41		703936530	12777753400	266789400000	194784070000
纺织制造	+2.85%		-0.02%		-0.02%		0.63		+201781010	2		27		4		万事利		+5.10%		+6.59%		+12.23%		--		--		+5.58%		--		1.18		689429710	8122346800	225693470000	214466060000
光伏设备	+2.76%		-0.00%		-0.01%		0.51		-815339300	3		59		16		东方日升	+8.61%		+9.96%		+13.60%		--		--		+10.03%		--		1.44		4153311400	91195006000	1834158000000	1591184700000
通用设备	+2.70%		+0.03%		+0.03%		0.26		+450356500	11		213		33		铂力特		+6.50%		+9.01%		+13.82%		--		--		+7.57%		--		0.85		5023015200	113252794000	2007675400000	1581581100000
