sina_code,name,tag,amount,today_pct,turnover,open_pct,price,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sz000547,航天发展,航天/💰大战场,17949000000.0,7.69,31.88,-2.0,36.7,60.61,,0,0,0,000547
sz300308,中际旭创,💰大战场,17281000000.0,2.37,2.53,1.91,619.6,0.34,,0,0,0,300308
sz002202,金风科技,2板/航天/💰大战场,16846000000.0,10.0,20.29,2.08,26.4,56.31,,0,0,0,002202
sh601698,中国卫通,💰大战场,14194999999.999998,1.48,7.74,2.94,43.87,69.25,,0,0,0,601698
sh600111,北方稀土,💰大战场,13536000000.000002,4.88,7.51,2.39,50.5,10.87,,0,0,0,600111
sz002413,雷科防务,F佬/雷科防务(军工/中位辨识度/没动) # 复盘：归类为中位辨识度二波趋势，锁仓没动/6板/存储/航天/💰大战场,13230000000.000002,10.01,65.12,4.02,16.71,82.82,,0,0,0,002413
sz300502,新易盛,💰大战场,12789000000.0,0.66,3.43,2.03,420.3,-9.22,,0,0,0,300502
sz002465,海格通信,F佬/海格通信(全能叠加/量化做T/脑机+航天) # 复盘：新开仓，底仓做T，希望量化看得上/💰大战场,12157000000.0,2.05,24.69,4.83,19.45,45.8,,0,0,0,002465
sz300346,南大光电,1板/存储/🔥20cm/💰大战场,10428000000.0,20.0,29.92,6.89,55.19,20.77,,0,0,0,300346
sz300475,香农芯创,💰大战场,10290000000.0,2.42,12.67,11.18,175.03,28.18,,0,0,0,300475
sz300274,阳光电源,💰大战场,9849000000.0,0.78,3.6,-1.23,173.46,3.52,,0,0,0,300274
sh688256,寒武纪-U,💰大战场,9416000000.0,0.85,1.63,-0.95,1394.88,8.57,,0,0,0,688256
sz002371,北方华创,💰大战场,9062000000.0,6.06,2.44,1.45,515.42,10.77,,0,0,0,002371
sh600498,烽火通信,💰大战场,8755000000.0,4.02,18.9,-1.7,36.7,28.55,,0,0,0,600498
sz300409,道氏技术,💰大战场,7172000000.0,0.78,32.88,6.44,31.15,43.28,,0,0,0,300409
sz002340,格林美,首板/炸板/反包预期/💰大战场,7145999999.999999,7.99,14.93,2.66,9.33,19.31,,0,0,0,002340
sz002600,领益智造,💰大战场,7125000000.0,1.06,6.08,1.44,16.17,1.38,,0,0,0,002600
sz300604,长川科技,首板/💰大战场,7123000000.0,13.09,12.28,3.3,125.9,33.13,,0,0,0,300604
sz000592,平潭发展,💰大战场,6917000000.0,7.8,24.23,-0.21,15.62,21.09,,0,0,0,000592
sh600105,永鼎股份,💰大战场,6915000000.000001,4.24,17.54,-1.83,27.29,26.69,,0,0,0,600105
sh601127,赛力斯,💰大战场,6697000000.0,2.42,3.5,0.01,128.35,5.71,,0,0,0,601127
sh601600,中国铝业,💰大战场,6670000000.0,0.57,3.64,-0.07,14.05,28.08,,0,0,0,601600
sz002837,英维克,💰大战场,6566000000.0,1.95,7.42,-1.79,104.5,10.7,,0,0,0,002837
sh600895,张江高科,💰大战场,6533000000.0,5.19,9.23,1.03,46.83,21.51,,0,0,0,600895
sz000559,万向钱潮,F佬/万向钱潮(机器人中军/优于天奇) # 复盘：侧面印证天奇不如万向/💰大战场,6495999999.999999,-1.49,10.84,-3.26,17.82,53.09,,0,0,0,000559
sh601888,中国中免,F佬/中国中免(免税中军/防守) # 复盘未提及，维持原判/💰大战场,6454000000.000001,3.11,3.55,0.01,93.41,2.55,,0,0,0,601888
sz002565,顺灏股份,💰大战场,6266000000.0,5.53,31.35,-3.74,19.46,23.95,,0,0,0,002565
sh600089,特变电工,💰大战场,6257000000.0,2.8,5.12,0.76,24.19,7.7,,0,0,0,600089
sz300433,蓝思科技,💰大战场,6214000000.0,0.24,3.7,1.09,34.01,17.76,,0,0,0,300433
sz300394,天孚通信,💰大战场,6120000000.0,0.21,3.89,1.61,202.18,-9.34,,0,0,0,300394
sz300450,先导智能,💰大战场,5585000000.0,0.16,6.46,0.02,55.09,14.37,,0,0,0,300450
sz002792,通宇通讯,1板/卫星/低空/航天/💰大战场,5496000000.0,10.01,32.34,-0.76,52.1,47.38,,0,0,0,002792
sz002639,雪人集团,1板/💰大战场,5207000000.0,10.02,38.0,-1.15,21.96,13.02,,0,0,0,002639
sz300442,润泽科技,💰大战场,5070000000.0,5.12,5.23,0.92,60.58,20.8,,0,0,0,300442
sz002471,中超控股,F佬/中超控股(核聚变/没做T/有点蠢) # 复盘：自我检讨没做T/💰大战场,4880000000.0,1.84,43.5,0.0,8.3,51.46,,0,0,0,002471
sz002703,浙江世宝,首板/炸板/反包预期/💰大战场,4831000000.0,3.92,32.22,10.02,24.9,34.67,,0,0,0,002703
sz300548,长芯博创,💰大战场,4793000000.0,6.57,12.67,1.37,142.98,-8.91,,0,0,0,300548
sz300456,赛微电子,💰大战场,4597000000.0,3.1,14.36,-0.32,54.82,-9.31,,0,0,0,300456
sz002920,德赛西威,💰大战场,4269000000.0,0.13,5.51,1.89,137.57,8.75,,0,0,0,002920
sz000426,兴业银锡,💰大战场,4194000000.0,4.59,5.56,1.76,42.14,16.6,,0,0,0,000426
sh688521,芯原股份,💰大战场,4185000000.0,2.31,5.26,2.82,152.24,18.11,,0,0,0,688521
