游资标签,营业部名称,买入股票,卖出股票,上榜次数
中山东路,多席位/聚合,利欧股份(2.0亿) 南兴股份(22万) 引力传媒/3日(1.3亿) 金风科技(3.6亿),利欧股份(44万) 南兴股份(6029万) 金风科技(699万),7
余哥,多席位/聚合,乾照光电(3.3亿) 乾照光电/3日(6.8亿),乾照光电(2.2亿) 乾照光电/3日(2.6亿),4
佛山系,多席位/聚合,,银座股份(723万),1
作手新一,多席位/聚合,弘元绿能(2587万) 强一股份/3日(1.6亿) 航天电子/3日(7.7亿) 金风科技(4.2亿),金风科技(1.9亿),5
六一中路,多席位/聚合,世嘉科技(30万) 众诚科技(1548万) 众诚科技/3日(2223万) 利欧股份(9120万) 大鹏工业(724万) 天润科技(563万) 杭萧钢构(1430万) 杭萧钢构/3日(1430万) 索菱股份(585万) 观想科技/3日(2052万) 雷科防务(540万),世嘉科技(3827万) 众诚科技(744万) 众诚科技/3日(1018万) 利欧股份(37万) 塞力医疗(2513万) 大鹏工业(88万) 天润科技(649万) 引力传媒/3日(3738万) 索菱股份(1351万) 美克家居(1279万) 观想科技/3日(507万) 雷科防务(8311万),23
养家,多席位/聚合,上实发展(1267万) 中衡设计/3日(2997万) 凯迪股份/3日(2663万) 利欧股份(2.0亿) 南兴股份(22万) 声迅转债(2.1亿) 引力传媒/3日(1.3亿) 金风科技(3.6亿),利欧股份(44万) 南兴股份(6029万) 声迅转债(2.1亿) 金风科技(699万),12
北向,多席位/聚合,三孚股份/3日(2419万) 上实发展(3534万) 东阳光/3日(7.4亿) 乾照光电(2.7亿) 乾照光电/3日(4.7亿) 云南锗业(3.6亿) 云南锗业/3日(8.7亿) 信科移动(7487万) 凯迪股份/3日(2044万) 创新医疗(4.4亿) 利欧股份(3.1亿) 前沿生物(5345万) 华人健康/3日(5616万) 华菱线缆(4548万) 南兴股份(3263万) 塞力医疗(6644万) 大位科技/3日(4.8亿) 天龙集团(1.2亿) 天龙集团/3日(1.2亿) 弘元绿能(1.2亿) 昆仑万维(6.1亿) 易点天下(2.9亿) 浙江美大(1392万) 益诺思/3日(5254万) 省广集团(2.3亿) 索菱股份(1420万) 臻镭科技(4.8亿) 臻镭科技/3日(7.2亿) 航天南湖/3日(5066万) 航天晨光/3日(1.4亿) 航天电子/3日(7.0亿) 茂业商业(3758万) 荣科科技/3日(8257万) 远东股份(1.3亿) 迪安诊断(1.4亿) 金风科技(3.3亿) 雪人集团(5.1亿) 雷科防务(7.1亿) 震有科技(9845万) 鸿路钢构/3日(1.7亿),乾照光电(2.5亿) 乾照光电/3日(4.5亿) 云南锗业(1.6亿) 云南锗业/3日(9.3亿) 创新医疗(1.5亿) 利欧股份(1.1亿) 华人健康/3日(3431万) 华菱线缆(8757万) 南京熊猫(1.2亿) 南兴股份(2870万) 天龙集团(8816万) 天龙集团/3日(8816万) 昆仑万维(4.2亿) 易点天下(2.5亿) 浙江美大(4320万) 省广集团(1.8亿) 索菱股份(2012万) 荣科科技/3日(9810万) 迪安诊断(1.6亿) 金风科技(4.4亿) 雪人集团(4.3亿) 雷科防务(4.5亿) 鸿路钢构/3日(1.2亿),63
呼家楼,多席位/聚合,星图测控(639万),星图测控(1797万),2
小鳄鱼,多席位/聚合,观想科技/3日(1754万),观想科技/3日(1799万),2
思明南路,多席位/聚合,杭萧钢构(523万),,1
拉萨天团,多席位/聚合,*ST奥维/3日(861万) *ST景峰/3日(493万) 三和管桩(1798万) 三孚股份/3日(3225万) 上海九百(3765万) 东通退(55万) 乾照光电/3日(8349万) 众诚科技(933万) 众诚科技/3日(1345万) 农心科技(778万) 创新医疗(4977万) 利欧股份(5746万) 华菱线缆(8443万) 南京熊猫(8941万) 南兴股份(7593万) 嘉事堂(1580万) 塞力医疗(6572万) 大鹏工业(612万) 天润科技(938万) 弘元绿能(2054万) 易点天下(2711万) 星图测控(4178万) 浙江美大(705万) 百花医药/3日(2181万) 胜通能源(3289万) 荣科科技/3日(1.5亿),*ST奥维/3日(976万) *ST景峰/3日(686万) 三和管桩(322万) 东通退(157万) 乾照光电/3日(9471万) 众诚科技(631万) 众诚科技/3日(808万) 农心科技(1035万) 创新医疗(3262万) 利欧股份(1.5亿) 华菱线缆(7801万) 南京熊猫(4181万) 南兴股份(5263万) 嘉事堂(1197万) 大鹏工业(978万) 天润科技(477万) 易点天下(4930万) 星图测控(3074万) 浙江美大(250万) 胜通能源(2495万) 茂业商业(1166万) 荣科科技/3日(1.4亿),48
方新侠,多席位/聚合,*ST景峰/3日(720万),*ST景峰/3日(35万),2
