游资标签,营业部名称,买入股票,卖出股票,上榜次数
上塘路,多席位/聚合,三湘印象(970万) 志特新材/3日(1712万),志特新材/3日(11万),3
中山东路,多席位/聚合,利欧股份/3日(2.0亿) 南兴股份/3日(6074万) 海兰信/3日(2.0亿) 润泽科技(343万) 润泽科技/3日(2.0亿) 蓝色光标(4.0亿) 蓝色光标/3日(4.6亿) 金风科技(🔒 锁仓),利欧股份/3日(101万) 南兴股份/3日(6057万) 海兰信/3日(2.1亿) 润泽科技(2.0亿) 润泽科技/3日(2.0亿) 蓝色光标(1.7亿) 蓝色光标/3日(2.1亿),15
交易猿,多席位/聚合,智光电气(121万),智光电气(1497万),2
余哥,多席位/聚合,*ST铖昌/3日(2511万) 蓝色光标(5.7亿) 蓝色光标/3日(5.8亿) 道氏技术(1.1亿) 金现代/3日(5831万),蓝色光标(178万) 蓝色光标/3日(195万) 道氏技术(23万) 金现代/3日(58万),9
作手新一,多席位/聚合,国新健康/3日(3150万) 达华智能/3日(5114万) 金风科技(223万) 金风科技/3日(4.2亿),国新健康/3日(99万) 达华智能/3日(35万) 金风科技(2.5亿) 金风科技/3日(4.4亿),8
六一中路,多席位/聚合,ST赛为/3日(2672万) 亚联发展/3日(1232万) 利欧股份(🔒 锁仓) 岩山科技(1.4亿) 御银股份(5107万) 志特新材/3日(1182万) 智光电气(121万) 江顺科技(1042万) 道氏技术(38万) 雷科防务(1.9亿),ST赛为/3日(2021万) 东通退(170万) 亚联发展/3日(492万) 岩山科技(61万) 御银股份(1697万) 智光电气(1497万) 江顺科技(37万) 道氏技术(1.4亿),18
养家,多席位/聚合,利欧股份/3日(2.0亿) 南兴股份/3日(6074万) 海兰信/3日(2.0亿) 润泽科技(343万) 润泽科技/3日(2.0亿) 美年健康/3日(4999万) 蓝色光标(4.0亿) 蓝色光标/3日(4.6亿) 达华智能/3日(6004万) 金风科技(🔒 锁仓) 鼎捷转债(9810万),利欧股份/3日(101万) 南兴股份/3日(6057万) 海兰信/3日(2.1亿) 润泽科技(2.0亿) 润泽科技/3日(2.0亿) 美年健康/3日(14万) 蓝色光标(1.7亿) 蓝色光标/3日(2.1亿) 达华智能/3日(2477万) 鼎捷转债(9822万),21
北向,多席位/聚合,三湘印象(3529万) 三维通信/3日(3.3亿) 东信和平/3日(2.4亿) 中文在线/3日(4.7亿) 京新药业(2504万) 值得买/3日(1.9亿) 创新医疗(3.6亿) 创新医疗/3日(8.0亿) 利欧股份/3日(7.7亿) 华人健康/3日(2934万) 华菱线缆(7626万) 南兴股份/3日(5473万) 卫宁健康/3日(3.5亿) 国新健康/3日(6332万) 壹网壹创/3日(1.6亿) 天银机电/3日(6.8亿) 天龙集团/3日(1.6亿) 山子高科(6.7亿) 岩山科技(4.3亿) 巨力索具/3日(3550万) 广联航空/3日(8566万) 御银股份(6054万) 新劲刚/3日(2.8亿) 昆仑万维(4.7亿) 昆仑万维/3日(10.8亿) 易点天下/3日(4.5亿) 智光电气(4715万) 汉得信息(3.0亿) 汉得信息/3日(10.9亿) 海兰信/3日(7.8亿) 润泽科技(3.3亿) 润泽科技/3日(8.4亿) 福石控股/3日(1.7亿) 粤传媒/3日(1.2亿) 美年健康/3日(1.5亿) 航天发展/严重异动(143.5亿) 航天科技/3日(9.4亿) 蓝色光标(9.9亿) 蓝色光标/严重异动(49.0亿) 蓝色光标/3日(15.5亿) 西部材料/严重异动(38.3亿) 达华智能/3日(1.5亿) 迪安诊断/3日(1.8亿) 道氏技术(3.0亿) 金风科技(1.5亿) 金风科技/3日(8.8亿) 银河电子/3日(9944万) 雪人集团(3.8亿) 雷科防务(4.5亿) 雷科防务/严重异动(25.9亿) 青木科技/3日(1.8亿) 顺灏股份/严重异动(13.4亿) 领益智造(3.3亿),三湘印象(7900万) 三维通信/3日(3.5亿) 东信和平/3日(1.4亿) 中文在线/3日(3.9亿) 京新药业(5870万) 值得买/3日(2.2亿) 创新医疗(5.0亿) 创新医疗/3日(6.5亿) 利欧股份/3日(6.8亿) 华人健康/3日(5727万) 华菱线缆(4655万) 南兴股份/3日(8716万) 卫宁健康/3日(3.2亿) 国新健康/3日(4466万) 壹网壹创/3日(1.7亿) 天银机电/3日(6.5亿) 天龙集团/3日(2.0亿) 山子高科(1.4亿) 岩山科技(1.8亿) 巨力索具/3日(3782万) 广联航空/3日(1.6亿) 御银股份(7349万) 新劲刚/3日(2.9亿) 昆仑万维(7.2亿) 昆仑万维/3日(11.4亿) 易点天下/3日(3.6亿) 智光电气(7654万) 汉得信息(4.2亿) 汉得信息/3日(12.8亿) 海兰信/3日(7.4亿) 润泽科技(5.7亿) 润泽科技/3日(7.5亿) 福石控股/3日(1.2亿) 粤传媒/3日(1.3亿) 美年健康/3日(1.0亿) 航天发展/严重异动(138.7亿) 航天科技/3日(7.7亿) 蓝色光标(6.1亿) 蓝色光标/严重异动(45.9亿) 蓝色光标/3日(14.2亿) 西部材料/严重异动(35.7亿) 达华智能/3日(1.3亿) 迪安诊断/3日(2.0亿) 道氏技术(2.0亿) 金风科技(3.4亿) 金风科技/3日(15.1亿) 银河电子/3日(7733万) 雪人集团(4.6亿) 雷科防务(5.8亿) 雷科防务/严重异动(22.6亿) 青木科技/3日(1.5亿) 顺灏股份/严重异动(11.6亿) 领益智造(4.4亿),106
呼家楼,多席位/聚合,京新药业(44万),京新药业(2745万),2
宁波桑田路,多席位/聚合,东信和平/3日(150万) 志特新材/3日(1813万),东信和平/3日(6162万) 志特新材/3日(30万),4
