sina_code,name,tag,amount,today_pct,turnover,open_pct,price,risk_level,risk_msg,trigger_next,risk_rule,deviation_val_10d,deviation_val_30d,call_auction_ratio,last_amount,limit_up_type,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sz300058,蓝色光标,🐉龙虎榜/💰北向(9.9亿)/💰中山东路(4.0亿)/💰北向/3日(15.5亿)/💰余哥/3日(5.8亿)/💰机构/3日(3.7亿)/💰养家/3日(4.6亿)/💰中山东路/3日(4.6亿)/💰养家(4.0亿)/💰余哥(5.7亿)/💰机构(7716万)/💰北向/严重异动(49.0亿)/🏃养家(1.7亿)/🏃机构/3日(7.1亿)/🏃中山东路(1.7亿)/🏃北向/严重异动(45.9亿)/🏃余哥/3日(195万)/🏃中山东路/3日(2.1亿)/🏃养家/3日(2.1亿)/🏃机构(3.6亿)/🏃余哥(178万)/🏃北向/3日(14.2亿)/🏃北向(6.1亿)/★人气/成交/1板/[换手板]/AI/智能体,23589000000.0,20.02,34.96,4.66,20.62,高危,88.82%,次日 +5.76%,10日偏离值100%,88.82,0.0,0,18481000000.0,0,132.21,,0,0,0,300058
sz000547,航天发展,🐉龙虎榜/💰北向/严重异动(143.5亿)/🏃北向/严重异动(138.7亿)/★人气/成交/航天,22222000000.0,5.88,35.67,-0.05,40.0,极高危,198.20%,次日 +0.58%,30日偏离值200%,0.0,198.2,0,16010000000.0,0,56.25,,0,0,0,000547
sz300308,中际旭创,★人气/成交,22118000000.0,1.5,3.47,-2.26,591.97,🟢 Safe,-,-,,0.0,0.0,0,22201000000.0,0,-7.48,,0,0,0,300308
sz300502,新易盛,★人气/成交,20777000000.0,-1.73,6.13,-3.07,391.35,🟢 Safe,-,-,,0.0,0.0,0,16688000000.0,0,-12.64,,0,0,0,300502
sz300750,宁德时代,★人气/成交,17506000000.0,-2.04,1.15,-0.33,361.68,🟢 Safe,-,-,,0.0,0.0,0,11681000000.0,0,-3.04,,0,0,0,300750
sz300059,东方财富,★人气/成交,17298000000.0,3.81,5.24,-0.29,25.05,🟢 Safe,-,-,,0.0,0.0,0,8234999999.999999,0,7.33,,0,0,0,300059
sz300136,信维通信,★人气/成交/首板/[换手板],17231000000.0,10.59,26.04,4.58,83.11,🟢 Safe,-,-,,0.0,0.0,0,16369999999.999998,0,63.93,,0,0,0,300136
sz300274,阳光电源,★人气/成交,15841999999.999998,-3.31,6.12,-2.23,163.45,🟢 Safe,-,-,,0.0,0.0,0,10151000000.0,0,-2.64,,0,0,0,300274
sz002050,三花智控,★人气/成交,15828000000.0,-0.25,7.54,0.81,57.0,🟢 Safe,-,-,,0.0,0.0,0,15843000000.0,0,19.85,,0,0,0,002050
sh601698,中国卫通,★人气/成交/2板/[换手板]/航天/卫星,13822999999.999998,10.0,6.22,4.1,53.88,高危,86.22%,次日 +7.25%,10日偏离值100%,86.22,0.0,0,0.0,0,109.32,,0,0,0,601698
sz002202,金风科技,F佬/金风科技(商业航天/风电/核电/总龙)/🐉龙虎榜/💰作手新一/3日(4.2亿)/💰消闲派/3日(3.9亿)/💰北向(1.5亿)/💰中山东路(🔒)/💰养家(🔒)/💰陈小群/3日(6.3亿)/💰知春路(🔒)/💰作手新一(223万)/💰北向/3日(8.8亿)/🏃陈小群/3日(1.7亿)/🏃北向/3日(15.1亿)/🏃作手新一(2.5亿)/🏃北向(3.4亿)/🏃机构/3日(6.0亿)/🏃机构(1.6亿)/🏃作手新一/3日(4.4亿)/🏃消闲派/3日(1002万)/★人气/成交/5板/[换手板],13190000000.0,9.99,11.28,6.42,35.13,🟢 Safe,-,-,,0.0,0.0,0,17893000000.0,0,83.26,,0,0,0,002202
sh601138,工业富联,★人气/成交,12764000000.0,-0.89,1.06,0.02,60.93,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,-8.68,,0,0,0,601138
sh600879,航天电子,★人气/成交/3板/[换手板]/航天,12568000000.0,10.0,12.24,6.31,31.56,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,69.59,,0,0,0,600879
sh601318,中国平安,★人气/成交,12547000000.0,-2.1,1.74,-0.14,67.55,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,-4.59,,0,0,0,601318
sz300418,昆仑万维,🐉龙虎榜/💰北向/3日(10.8亿)/💰机构(2.3亿)/💰机构/3日(4.4亿)/💰北向(4.7亿)/🏃北向(7.2亿)/🏃北向/3日(11.4亿)/🏃机构(1.7亿)/🏃机构/3日(4.7亿)/★人气/成交/2板/[换手板]/AI/智能体/短剧,12250000000.0,19.99,15.82,7.37,64.82,🟢 Safe,-,-,,0.0,0.0,0,10289000000.0,0,62.91,,0,0,0,300418
sz300433,蓝思科技,★人气/成交/首板/[换手板],12012000000.0,10.26,5.79,4.7,42.66,🟢 Safe,-,-,,0.0,0.0,0,11443000000.0,0,46.0,,0,0,0,300433
sh600111,北方稀土,★人气/成交,11808000000.0,6.21,6.37,1.42,52.48,🟢 Safe,-,-,,0.0,0.0,0,7136000000.0,0,14.01,,0,0,0,600111
sz002230,科大讯飞,★人气/成交,11795000000.0,7.19,9.13,3.42,59.6,🟢 Safe,-,-,,0.0,0.0,0,7737000000.0,0,22.26,,0,0,0,002230
sh601899,紫金矿业,★人气/成交,11081000000.0,0.11,1.44,2.69,37.26,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,16.33,,0,0,0,601899
sz300476,胜宏科技,★人气/成交,11022000000.0,-3.32,4.51,-2.0,285.0,🟢 Safe,-,-,,0.0,0.0,0,11278000000.0,0,-4.84,,0,0,0,300476
sz000063,中兴通讯,★人气/成交,10812000000.0,5.49,6.44,0.22,42.44,🟢 Safe,-,-,,0.0,0.0,0,6000000000.0,0,11.36,,0,0,0,000063
sz300033,同花顺,★人气/成交/首板/[换手板],10487000000.0,10.62,9.96,0.73,393.37,🟢 Safe,-,-,,0.0,0.0,0,4521000000.0,0,21.26,,0,0,0,300033
sz300102,乾照光电,★人气/成交,10473000000.0,3.9,28.77,4.19,38.89,🟢 Safe,-,-,,0.0,0.0,0,8591000000.0,0,57.96,,0,0,0,300102
sh603986,兆易创新,★人气/成交,10436000000.0,4.71,6.05,2.07,261.83,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,17.94,,0,0,0,603986
sz002195,岩山科技,F佬/岩山科技(传媒ETF/利欧替身/脑机/今日买入)/🐉龙虎榜/💰消闲派(1.4亿)/💰机构(6748万)/💰六一中路(1.4亿)/💰北向(4.3亿)/🏃消闲派(212万)/🏃六一中路(61万)/🏃机构(1.7亿)/🏃北向(1.8亿)/★人气/成交/1板/[换手板]/机器人/AI,10342000000.0,10.05,16.63,4.35,11.39,🟢 Safe,-,-,,0.0,0.0,0,21959000000.0,0,65.79,,0,0,0,002195
sz002475,立讯精密,★人气/成交,10301000000.0,-0.4,2.59,-0.81,55.43,🟢 Safe,-,-,,0.0,0.0,0,8519000000.0,0,-6.73,,0,0,0,002475
sz002413,雷科防务,🐉龙虎榜/💰北向/严重异动(25.9亿)/💰机构(1.6亿)/💰六一中路(1.9亿)/💰陈小群(1.9亿)/💰消闲派(7242万)/💰北向(4.5亿)/🏃机构(3539万)/🏃陈小群(1.3亿)/🏃消闲派(2.6亿)/🏃北向(5.8亿)/🏃北向/严重异动(22.6亿)/★人气/成交/1板/[换手板]/航天/存储/军工,9517000000.0,10.0,38.24,0.55,20.13,高危,89.49%,次日 +5.41%,10日偏离值100%,89.49,0.0,0,10818000000.0,0,113.92,,0,0,0,002413
sz300442,润泽科技,🐉龙虎榜/💰北向(3.3亿)/💰机构/3日(2.4亿)/💰中山东路(343万)/💰养家(343万)/💰养家/3日(2.0亿)/💰拉萨天团(1.4亿)/💰北向/3日(8.4亿)/💰中山东路/3日(2.0亿)/💰机构(9968万)/🏃中山东路/3日(2.0亿)/🏃中山东路(2.0亿)/🏃养家/3日(2.0亿)/🏃北向(5.7亿)/🏃养家(2.0亿)/🏃机构/3日(2.7亿)/🏃北向/3日(7.5亿)/🏃拉萨天团(6964万)/🏃机构(1.6亿)/★人气/成交/🔥A大焚诀/爆量/首板/👀焚诀预期/炸板/[换手板],9496000000.0,20.0,7.64,5.51,83.04,🟢 Safe,-,-,,0.0,0.0,0,7659999999.999999,0,63.95,,0,0,0,300442
sz002600,领益智造,🐉龙虎榜/💰北向(3.3亿)/💰机构(1.2亿)/🏃机构(1.4亿)/🏃北向(4.4亿)/★人气/成交/1板/[换手板]/机器人/航天,9153000000.0,10.02,7.27,0.24,18.33,🟢 Safe,-,-,,0.0,0.0,0,6325000000.0,0,15.72,,0,0,0,002600
sh600105,永鼎股份,★人气/成交,8906000000.0,4.4,19.89,0.03,31.53,🟢 Safe,-,-,,0.0,0.0,0,7401000000.000001,0,34.0,,0,0,0,600105
sz300475,香农芯创,★人气/成交,8650000000.0,6.06,11.7,2.35,175.0,🟢 Safe,-,-,,0.0,0.0,0,5645000000.0,0,15.09,,0,0,0,300475
sz000981,山子高科,🐉龙虎榜/💰北向(6.7亿)/💰机构(2.3亿)/💰拉萨天团(5030万)/🏃拉萨天团(6806万)/🏃北向(1.4亿)/🏃机构(1374万)/★人气/成交/1板/[换手板],8480000000.0,10.09,17.71,0.43,5.13,🟢 Safe,-,-,,0.0,0.0,0,6373000000.0,0,44.92,,0,0,0,000981
sh600410,华胜天成,★人气/成交,8342000000.0,4.1,34.38,2.97,22.09,🟢 Safe,-,-,,0.0,0.0,0,5947000000.0,0,28.36,,0,0,0,600410
sh600089,特变电工,★人气/成交,8303000000.0,-0.24,6.57,4.17,24.88,🟢 Safe,-,-,,0.0,0.0,0,7778000000.0,0,7.57,,0,0,0,600089
sz300762,上海瀚讯,★人气/成交,8031000000.0,9.02,23.19,4.98,55.6,🟢 Safe,-,-,,0.0,0.0,0,7894000000.0,0,44.57,,0,0,0,300762
sh600118,中国卫星,★人气/成交/1板/[换手板]/航天/卫星,7984999999.999999,10.0,5.89,5.61,116.66,🟢 Safe,-,-,,0.0,0.0,0,16321000000.0,0,60.4,,0,0,0,600118
