sina_code,name,tag,amount,today_pct,turnover,open_pct,price,risk_level,risk_msg,trigger_next,risk_rule,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sz000547,航天发展,★人气/★人气/成交/航天/💰大战场,17949000000.0,7.69,31.88,-2.0,36.7, 极高危,191.03%,次日 +3.00%,30日偏离值200%,60.61,,0,0,0,000547
sz300308,中际旭创,★人气/成交/💰大战场,17281000000.0,2.37,2.53,1.91,619.6,🟢 Safe,-,-,,0.34,,0,0,0,300308
sz002202,金风科技,★人气/★人气/成交/2板/航天/💰大战场,16846000000.0,10.0,20.29,2.08,26.4,🟢 Safe,-,-,,56.31,,0,0,0,002202
sh600118,中国卫星,★人气/成交/卫星/💰大战场,15050000000.0,-6.34,12.56,-3.75,100.23,🟢 Safe,-,-,,57.94,,0,0,0,600118
sh601698,中国卫通,★人气/成交/💰大战场,14194999999.999998,1.48,7.74,2.94,43.87, 中,82.36%,次日 +9.46%,10日偏离值100%,69.25,,0,0,0,601698
sh600111,北方稀土,★人气/成交/💰大战场,13536000000.000002,4.88,7.51,2.39,50.5,🟢 Safe,-,-,,10.87,,0,0,0,600111
sh600879,航天电子,★人气/成交/航天/💰大战场,13405000000.000002,-0.92,17.11,-1.8,23.71,🟢 Safe,-,-,,36.19,,0,0,0,600879
sz002413,雷科防务,F佬/雷科防务(军工/中位辨识度/没动) # 复盘：归类为中位辨识度二波趋势，锁仓没动/★人气/★人气/6板/★人气/成交/6板/航天/存储/💰大战场,13230000000.000002,10.01,65.12,4.02,16.71, 高危,88.70%,次日 +5.80%,10日偏离值100%,82.82,,0,0,0,002413
sh601899,紫金矿业,★人气/成交/💰大战场,13194000000.0,-2.34,1.73,0.0,36.72,🟢 Safe,-,-,,12.88,,0,0,0,601899
sz300476,胜宏科技,★人气/成交/💰大战场,12949000000.0,-2.12,4.88,-0.69,307.99,🟢 Safe,-,-,,3.43,,0,0,0,300476
sz300502,新易盛,★人气/成交/💰大战场,12789000000.0,0.66,3.43,2.03,420.3,🟢 Safe,-,-,,-9.22,,0,0,0,300502
sz002465,海格通信,F佬/海格通信(全能叠加/量化做T/脑机+航天) # 复盘：新开仓，底仓做T，希望量化看得上/★人气/成交/💰大战场,12157000000.0,2.05,24.69,4.83,19.45,🟢 Safe,-,-,,45.8,,0,0,0,002465
