sina_code,name,tag,today_pct,turnover,open_pct,price,pct_10,link_dragon,vol,code
sz002977,天箭科技,跌停/博弈修复,-9.99,2.2734856605529785,-9.99,35.31,-11.86,,15146,002977
sz002788,鹭燕医药,跌停/博弈修复,-9.99,16.059085845947266,-0.59,21.18,67.56,,613126,002788
sz002591,恒大高新,跌停/博弈修复,-9.98,18.978673934936523,1.88,8.12,30.34,,424197,002591
sz002682,龙洲股份,跌停/博弈修复,-9.98,26.57497215270996,-7.56,8.57,-11.38,,1494471,002682
sz002691,冀凯股份,跌停/博弈修复,-9.95,12.717063903808594,-6.87,9.05,16.17,,427268,002691
sh600506,统一股份,跌停/博弈修复,-9.99,22.906335830688477,-3.4,26.21,14.5,,439845,600506
sz301232,飞沃科技,炸板/反包预期/🔥20cm,17.91,28.446378707885742,2.94,168.37,62.03,,127062,301232
sz920130,立方控股,炸板/反包预期/🔥20cm,24.94,26.934999465942383,-3.15,28.96,25.31,,150717,920130
sh600456,宝钛股份,炸板/反包预期,6.25,10.373854637145996,-0.73,39.45,22.25,,495639,600456
sz000659,珠海中富,炸板/反包预期,4.1,15.275031089782715,-0.77,4.06,26.09,,1963915,000659
sz003041,真爱美家,炸板/反包预期,9.01,10.98195743560791,-0.48,54.33,31.23,,150259,003041
sz002163,海南发展,炸板/反包预期,7.15,31.558687210083008,1.84,23.84,70.16,,2535895,002163
sz002969,嘉美包装,炸板/反包预期,6.84,25.669435501098633,10.04,12.66,152.19,,2436851,002969
sz000417,合百集团,炸板/反包预期,3.32,14.756573677062988,7.4,8.1,7.71,,1149578,000417
sh603626,科森科技,炸板/反包预期,7.22,23.09566879272461,4.81,20.94,48.41,,1281532,603626
sh603215,比依股份,炸板/反包预期,5.96,11.095460891723633,5.77,22.04,6.47,,207739,603215
sz301042,安联锐视,炸板/反包预期,8.66,12.20702075958252,1.86,88.0,10.17,,80592,301042
sh603726,朗迪集团,炸板/反包预期,7.32,14.494043350219727,6.12,24.2,15.62,,267714,603726
sh600362,江西铜业,炸板/反包预期,9.29,6.208667278289795,0.0,54.92,32.75,,1288452,600362
sz300696,爱乐达,炸板/反包预期,11.61,17.67247200012207,0.98,31.91,22.17,,469887,300696
sh600681,百川能源,炸板/反包预期,5.88,9.22375202178955,1.72,4.32,7.46,,1235806,600681
